Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R17        0402               425.197mil    733.965mil    425.197mil    733.965mil    405.512mil    733.965mil  T        360.00 10K            
R16        0402               425.197mil    685.039mil    425.197mil    685.039mil    405.512mil    685.039mil  T        360.00 10K            
R15        0805             -1220.473mil    -323.78mil  -1220.473mil    -323.78mil  -1220.473mil   -286.378mil  T        270.00 0.2R           
R14        0805             -1220.473mil    315.984mil  -1220.473mil    315.984mil  -1220.473mil    353.386mil  T        270.00 0.2R           
R13        0805             -1220.473mil    954.764mil  -1220.473mil    954.764mil  -1220.473mil    992.165mil  T        270.00 0.2R           
R12        0402               -578.74mil     825.09mil    -578.74mil     825.09mil   -559.055mil     825.09mil  T        180.00 10K            
R11        0402               -578.74mil     875.09mil    -578.74mil     875.09mil   -559.055mil     875.09mil  T        180.00 10K            
R10        0402               -578.74mil    925.197mil    -578.74mil    925.197mil   -559.055mil    925.197mil  T        180.00 10K            
R7         0805               452.756mil    941.929mil    452.756mil    941.929mil    490.158mil    941.929mil  T        180.00 68R            
R6         0603               439.961mil    866.142mil    439.961mil    866.142mil    469.488mil    866.142mil  T        180.00 1R             
R5         0402              1552.685mil  -1349.409mil   1552.685mil  -1349.409mil       1533mil  -1349.409mil  T        360.00 DNP            
R4         0402               275.591mil    444.882mil    275.591mil    444.882mil    275.591mil    425.197mil  T         90.00 0R             
R3         0402               346.457mil    461.882mil    346.457mil    461.882mil    366.142mil    461.882mil  T        180.00 10K            
R2         0402                   500mil   1098.425mil        500mil   1098.425mil        500mil    1078.74mil  T         90.00 0R             
R1         0402               -539.37mil   1149.606mil    -539.37mil   1149.606mil    -539.37mil   1169.291mil  T        270.00 10K            
Q1         SOT23            -1198.873mil   1143.932mil  -1198.873mil   1143.932mil  -1161.472mil   1178.774mil  T        270.00 DMN3404L-7     
LED1       APFA3010SEEZGKQBKC   1510.827mil  -1534.449mil   1510.827mil  -1543.307mil   1569.882mil  -1543.307mil  T        360.00 RGB            
L7         1255AY-4R7M=P3     338.583mil   -312.008mil    338.583mil   -312.008mil    338.583mil   -404.528mil  T         90.00 4.7uH          
L6         1255AY-4R7M=P3    1040.157mil    865.118mil   1040.157mil    865.118mil   1132.677mil    865.118mil  T        180.00 47uH           
L5         1255AY-4R7M=P3    1040.157mil    227.323mil   1040.157mil    227.323mil   1132.677mil    227.323mil  T        180.00 47uH           
L4         1255AY-4R7M=P3    1040.157mil   -410.472mil   1040.157mil   -410.472mil   1132.677mil   -410.472mil  T        180.00 47uH           
L3         1255AY-4R7M=P3    -1039.37mil   -668.268mil   -1039.37mil   -668.268mil   -1131.89mil   -668.268mil  T          0.00 47uH           
L2         1255AY-4R7M=P3    -1039.37mil    -30.472mil   -1039.37mil    -30.472mil   -1131.89mil    -30.472mil  T        360.00 47uH           
L1         1255AY-4R7M=P3    -1039.37mil    607.323mil   -1039.37mil    607.323mil   -1131.89mil    607.323mil  T        360.00 47uH           
J7         JST_XH-5_-__RIGHT_ANGLE_-SMD   -903.543mil   -1342.52mil   -905.512mil   -1342.52mil  -1248.032mil   -1381.89mil  T        360.00 JST XH 5 SMD RIGHT ANGLE
J3         PIN_HEADER_2.54_14_CONTACTS_2_ROWS   -454.724mil     65.945mil   -454.724mil     65.945mil   -404.724mil   -234.055mil  T         90.00 header 2.54    
J1         TC2050-IDC         188.583mil     98.425mil    338.583mil     98.425mil    288.583mil    123.425mil  T        180.00 TAG connect    
D7         SMA                 90.551mil   -528.543mil     90.551mil   -528.543mil    169.291mil   -528.543mil  T        180.00 SBRT3M40SA-13  
D6         SMA                811.811mil    786.378mil    811.811mil    786.378mil    811.811mil    707.638mil  T         90.00 B240A          
D5         SMA                811.811mil    148.583mil    811.811mil    148.583mil    811.811mil     69.843mil  T         90.00 B240A          
D4         SMA                811.811mil   -489.213mil    811.811mil   -489.212mil    811.811mil   -567.953mil  T         90.00 B240A          
D3         SMA               -811.024mil   -589.528mil   -811.024mil   -589.528mil   -811.024mil   -510.787mil  T        270.00 B240A          
D2         SMA               -811.024mil     48.268mil   -811.024mil     48.268mil   -811.024mil    127.008mil  T        270.00 B240A          
D1         SMA               -811.024mil    686.063mil   -811.024mil    686.063mil   -811.024mil    764.803mil  T        270.00 B240A          
C39        1206              -147.638mil   -373.031mil   -147.638mil   -373.031mil   -204.724mil   -373.031mil  T        360.00 10uF           
C38        1206              -129.921mil   -580.709mil   -129.921mil   -580.709mil   -129.921mil   -523.622mil  T        270.00 22uF           
C37        0603               472.441mil   -536.418mil    472.441mil   -536.418mil    472.441mil   -565.945mil  T         90.00 0.1uF          
C36        1206               153.543mil   -276.575mil    153.543mil   -276.575mil    153.543mil   -219.488mil  T        270.00 22uF           
C35        0603               177.165mil   -634.843mil    177.165mil   -634.843mil    206.693mil   -634.843mil  T        180.00 0.1uF          
C34        1206               141.732mil   -713.583mil    141.732mil   -713.583mil    198.819mil   -713.583mil  T        180.00 10uF           
C33        0603               1221.26mil     65.906mil    1221.26mil     65.906mil    1221.26mil     95.433mil  T        270.00 1uF            
C32        0603               1221.26mil    703.701mil    1221.26mil    703.701mil    1221.26mil    674.173mil  T         90.00 1uF            
C31        0603               1221.26mil    -571.89mil    1221.26mil    -571.89mil    1221.26mil   -601.417mil  T         90.00 1uF            
C30        0402               1221.26mil    806.063mil    1221.26mil    806.063mil    1221.26mil    786.378mil  T         90.00 1.5nF          
C29        0402              1099.213mil    530.472mil   1099.213mil    530.472mil   1079.527mil    530.472mil  T        360.00 1.5nF          
C28        0402               1221.26mil    168.268mil    1221.26mil    168.268mil    1221.26mil    148.583mil  T         90.00 1.5nF          
C27        0402              1099.213mil   -107.323mil   1099.213mil   -107.323mil   1079.527mil   -107.323mil  T        360.00 1.5nF          
C26        0402               1221.26mil   -469.527mil    1221.26mil   -469.527mil    1221.26mil   -489.212mil  T         90.00 1.5nF          
